Timestamp,PID,Level,Message
2025-10-04 20:59:26.037,7002,LOG,"starting PostgreSQL 18.0 (Ubuntu 18.0-1.pgdg22.04+3) on x86_64-pc-linux-gnu, compiled by gcc (Ubuntu 11.4.0-1ubuntu1~22.04.2) 11.4.0, 64-bit"
2025-10-04 20:59:26.038,7002,LOG,"listening on IPv4 address ""0.0.0.0"", port 5432"
2025-10-04 20:59:26.038,7002,LOG,"listening on IPv6 address ""::"", port 5432"
2025-10-04 20:59:26.041,7002,LOG,"listening on Unix socket ""/var/run/postgresql/.s.PGSQL.5432"""
2025-10-04 20:59:26.092,7009,LOG,database system was shut down at 2025-10-04 20:43:19 +07
2025-10-04 20:59:26.121,7002,LOG,database system is ready to accept connections
2025-10-04 20:59:26.710,7013,LOG,connection received: host=[local]
2025-10-04 20:59:27.262,7016,LOG,connection received: host=[local]
2025-10-04 20:59:27.268,7016,LOG,"connection authenticated: identity=""postgres"" method=peer (/etc/postgresql/18/main/pg_hba.conf:118)"
2025-10-04 20:59:27.268,7016,LOG,connection authorized: user=postgres database=template1 application_name=psql
2025-10-04 20:59:27.344,7016,LOG,disconnection: session time: 0:00:00.083 user=postgres database=template1 host=[local]
2025-10-04 20:59:27.876,7019,LOG,connection received: host=[local]
2025-10-04 20:59:27.882,7019,LOG,"connection authenticated: identity=""postgres"" method=peer (/etc/postgresql/18/main/pg_hba.conf:118)"
2025-10-04 20:59:27.882,7019,LOG,connection authorized: user=postgres database=template1 application_name=psql
2025-10-04 20:59:27.892,7019,LOG,disconnection: session time: 0:00:00.016 user=postgres database=template1 host=[local]
2025-10-04 20:59:28.415,7022,LOG,connection received: host=[local]
2025-10-04 20:59:28.416,7022,LOG,"connection authenticated: identity=""postgres"" method=peer (/etc/postgresql/18/main/pg_hba.conf:118)"
2025-10-04 20:59:28.416,7022,LOG,connection authorized: user=postgres database=template1 application_name=psql
2025-10-04 20:59:28.424,7022,LOG,disconnection: session time: 0:00:00.008 user=postgres database=template1 host=[local]
2025-10-04 20:59:40.209,7025,LOG,connection received: host=[local]
2025-10-04 20:59:40.209,7025,LOG,"connection authenticated: identity=""root"" method=peer (/etc/postgresql/18/main/pg_hba.conf:123)"
2025-10-04 20:59:40.209,7025,LOG,provided user name (posgres) and authenticated user name (root) do not match
2025-10-04 20:59:40.211,7025,FATAL,"Peer authentication failed for user ""posgres"""
2025-10-04 20:59:40.211,7025,DETAIL,"Connection matched file ""/etc/postgresql/18/main/pg_hba.conf"" line 123: ""local   all             all                                     peer"""
2025-10-04 20:59:49.319,7031,LOG,connection received: host=[local]
2025-10-04 20:59:49.320,7031,LOG,"connection authenticated: identity=""root"" method=peer (/etc/postgresql/18/main/pg_hba.conf:118)"
2025-10-04 20:59:49.320,7031,LOG,provided user name (postgres) and authenticated user name (root) do not match
